Cultivar;AP;AE;POP;AC;QB;FF;UD;REND;FP;FC;MB;MC;MT
AGN 2M66PRO3;188;99;61.8;7;3;61;22.1;5490;0.0;0.0;0.4;0.1;0.1
DKB 255 PRO3;208;107;64.3;0;3;59;18.0;5264;0.0;0.0;0.2;0.0;1.0
BM880PRO3;201;99;57.8;6;1;59;16.9;5255;0.0;0.0;0.1;0.0;1.4
DGX20T21;210;114;60.3;6;12;61;18.3;5079;0.0;0.0;0.3;0.0;0.4
SXD 238VIP3;191;99;65.4;2;1;58;20.5;5070;0.0;0.0;1.1;0.1;2.5
AGN 2M88PRO3;191;102;57.1;3;1;60;21.9;4994;0.0;0.0;0.2;0.0;0.5
MG 593 PWU;192;98;61.8;2;5;62;19.5;4945;0.0;0.0;1.4;0.0;0.7
MG 408 PWU;193;99;58.8;3;8;60;18.4;4932;0.0;0.0;0.8;0.0;1.6
XBX 6017VIP3;204;101;63.4;1;2;61;17.6;4930;0.0;0.0;1.5;0.1;3.8
BM930PRO2;184;99;62.0;3;7;60;16.1;4920;0.0;0.0;2.1;0.1;0.4
AG 8480 PRO3;192;92;58.6;2;1;61;18.5;4867;0.0;0.0;0.1;0.1;0.2
XBX 6041VIP3;202;99;65.8;3;1;58;21.2;4824;0.0;0.0;0.9;0.1;0.5
FS 575 PWU;193;103;63.7;4;1;62;22.4;4815;0.0;0.0;0.5;0.1;2.3
XBX 6023VIP3;192;104;63.6;6;1;61;23.3;4791;0.0;0.0;0.6;0.0;2.9
AG 8780 PRO3;194;85;60.1;1;3;60;20.0;4778;0.0;0.0;1.4;0.1;0.1
AS 1844 PRO3;191;93;59.3;0;2;58;18.4;4766;0.0;0.0;0.1;0.0;0.3
SUPREMO VIP3;198;106;61.9;5;1;59;21.9;4745;0.0;0.0;0.8;0.0;3.1
SXDE 3339VIP3;197;107;63.9;8;1;59;22.4;4742;0.0;0.0;0.5;0.1;1.9
DKB 265 PRO3;194;94;66.3;1;2;59;16.8;4715;0.0;0.0;0.5;0.1;0.4
SXB 178VIP3;197;98;65.7;1;1;58;17.1;4674;0.0;0.0;1.2;0.0;3.1
AS 1850 PRO3;206;105;56.8;1;3;62;21.7;4671;0.0;0.0;0.1;0.0;0.8
MG 545 PWU;195;104;57.7;2;1;62;18.6;4600;0.0;0.0;0.7;0.0;1.0
SS 182E VIP3;193;107;62.8;5;1;61;21.5;4528;0.0;0.0;0.9;0.0;6.3
AG 9000 PRO3;190;94;58.8;1;2;57;16.7;4516;0.0;0.0;0.8;0.1;0.5
K7500VIP3;203;107;61.5;4;3;61;21.0;4487;0.0;0.0;0.2;0.1;0.9
AG 9050 PRO3;197;93;65.1;1;1;61;18.1;4481;0.0;0.0;0.6;0.0;4.1
DKB 290 PRO3;211;109;57.6;2;2;61;21.3;4399;0.0;0.0;1.3;0.0;0.3
K9660PRO2;196;108;63.4;1;11;62;21.1;4305;0.0;0.0;0.1;0.1;0.8
Exp B003;209;111;54.8;2;4;62;18.5;4304;0.0;0.0;1.1;0.2;0.3
SS 193E VIP3;190;101;63.6;13;2;64;17.8;4292;0.0;0.0;0.2;0.0;4.4
AGN 2M60PRO3;206;108;63.3;12;7;66;22.7;4121;0.0;0.0;0.2;0.0;0.8
P3016 VYHR;212;108;61.3;2;2;62;15.7;4100;0.0;0.0;1.0;0.1;0.9
AGN 2M77PRO3;201;102;62.2;3;3;65;21.7;4052;0.0;0.0;0.4;0.1;0.4
Exp B001;206;105;56.3;2;5;63;18.3;3972;0.0;0.0;0.9;0.0;0.4
Jmen 2M91PRO3;186;91;53.3;3;2;60;19.6;3943;0.0;0.0;0.1;0.0;0.7
HBU 184645K;183;89;56.9;1;2;62;17.2;3931;0.0;0.0;0.4;0.0;3.1
FORMULA VIP2;183;85;59.9;0;3;62;18.1;3896;0.0;0.0;2.0;0.1;0.6
AGN 2M01PRO3;197;104;62.3;1;4;65;20.3;3867;0.0;0.0;0.2;0.0;0.8
SX 8555VIP3;201;98;61.8;9;1;60;24.1;3794;0.0;0.0;0.5;0.0;3.5
Exp B004;182;99;54.2;2;3;62;19.0;3794;0.0;0.0;0.5;0.0;3.1
SYE 9049VIP3;205;104;67.5;14;3;64;22.2;3778;0.0;0.0;1.4;0.2;6.9
Exp B005;190;103;57.1;6;2;63;19.4;3773;0.0;0.0;0.2;0.0;2.6
BALU 1983;197;108;55.4;9;7;63;20.7;3755;0.0;0.0;0.6;0.0;1.9
XB 6012RG;204;117;52.8;22;7;66;24.1;3714;0.0;0.0;0.7;0.0;0.8
P30F53 VYHR;183;94;63.5;1;15;66;20.7;3620;0.0;0.0;0.4;0.0;1.6
20 STBP 0008VIP3;176;86;55.7;0;2;62;19.2;3604;0.0;0.0;2.1;0.0;1.9
Exp B002;174;94;58.6;1;3;65;19.5;3556;0.0;0.0;0.6;0.0;1.1
20 STBP 0002VIP3;173;73;55.2;1;1;61;17.6;3362;0.0;0.0;0.7;0.0;5.2
P2770 VYHR;182;87;63.2;1;3;64;14.9;3228;0.0;0.0;0.9;0.0;2.9
DGX20T20;184;99;61.4;5;2;65;21.3;2853;0.0;0.0;1.0;0.0;1.0
